kategoria;nazwa;cena;opis;zdjecia
Naklejki;Naklejki Skewb Mofangge;4,99 zł;;https://strefa-kostek.pl/23705-home_default/naklejki-skewb-mofangge.jpg, https://strefa-kostek.pl/23705-thickbox_default/naklejki-skewb-mofangge.jpg, https://strefa-kostek.pl/23706-thickbox_default/naklejki-skewb-mofangge.jpg
Naklejki;Naklejki SK Stickers GAN;6,99 zł;Naklejki do kostek od firmy GAN. Pasują do zdecydowanej większości kostek 3x3 od tego producenta. Wykonane z  wysokiej jakości folii ORACAL® . Jasne, dobrze kontrastujące odcienie naklejek, sprawiaj, że kostka znakomicie się prezentuje. W zestawie znajduje się również  folia transferowa  ułatwiająca aplikację. ;https://strefa-kostek.pl/27617-home_default/naklejki-sk-stickers-gan.jpg, https://strefa-kostek.pl/27617-thickbox_default/naklejki-sk-stickers-gan.jpg
Naklejki;Zcube Cube Pattern Graffiti Stickers set...;14,99 zł;;https://strefa-kostek.pl/32460-home_default/zcube-cube-pattern-graffiti-stickers-set-50-szt.jpg, https://strefa-kostek.pl/32460-thickbox_default/zcube-cube-pattern-graffiti-stickers-set-50-szt.jpg
Naklejki;Naklejki Skewb MoYu;4,99 zł;;https://strefa-kostek.pl/23721-home_default/naklejki-skewb-moyu.jpg, https://strefa-kostek.pl/23721-thickbox_default/naklejki-skewb-moyu.jpg, https://strefa-kostek.pl/23722-thickbox_default/naklejki-skewb-moyu.jpg
Naklejki;Stickers for Ganspuzzle 356;8,99 zł;;https://strefa-kostek.pl/27091-home_default/stickers-for-ganspuzzle-356.jpg, https://strefa-kostek.pl/27091-thickbox_default/stickers-for-ganspuzzle-356.jpg
Naklejki;Naklejki SK Stickers YJ Yushi;7,99 zł;Naklejki do kostki YJ YuShi. Wykonane z  wysokiej jakości folii ORACAL® . Jasne, dobrze kontrastujące odcienie naklejek, sprawiaj, że kostka znakomicie się prezentuje. W zestawie znajduje się również  folia transferowa  ułatwiająca aplikację. ;https://strefa-kostek.pl/27837-home_default/naklejki-sk-stickers-yj-yushi.jpg, https://strefa-kostek.pl/27837-thickbox_default/naklejki-sk-stickers-yj-yushi.jpg
Naklejki;Naklejki SK Stickers YJ YuFu;7,99 zł;Naklejki do kostki YJ YuFu. Wykonane z  wysokiej jakości folii ORACAL® . Jasne, dobrze kontrastujące odcienie naklejek, sprawiaj, że kostka znakomicie się prezentuje. W zestawie znajduje się również  folia transferowa  ułatwiająca aplikację. ;https://strefa-kostek.pl/27838-home_default/naklejki-sk-stickers-yj-yufu.jpg, https://strefa-kostek.pl/27838-thickbox_default/naklejki-sk-stickers-yj-yufu.jpg
Naklejki;Z-cube Naklejki Mirror;4,99 zł;;https://strefa-kostek.pl/30652-home_default/z-cube-naklejki-mirror.jpg, https://strefa-kostek.pl/30652-thickbox_default/z-cube-naklejki-mirror.jpg, https://strefa-kostek.pl/30653-thickbox_default/z-cube-naklejki-mirror.jpg
Akcesoria/Inne;MoYu Bag;54,99 zł;Poręczna torba, która idealnie nada się do transportu kostek oraz akcesoriów. Jest ona nieco większa od torby od firmy QiYi, dzięki czemu można zmieścić w niej nawet do 25 kostek (3x3) oraz kilka akcesoriów. W zestawie dołączona jest smycz na ramie z możliwością regulacji. Wewnątrz torby znajduje się dodatkowa siateczkowa przegródka. ;https://strefa-kostek.pl/21957-home_default/moyu-bag.jpg, https://strefa-kostek.pl/21957-thickbox_default/moyu-bag.jpg, https://strefa-kostek.pl/12111-thickbox_default/moyu-bag.jpg
Akcesoria/Inne;QiYi Bag;59,99 zł;Jest to druga generacja torby od firmy  MoFangGe .    Materiał, z którego została wykonana, jest dokładnie taki sam jak w przypadku plecaka od    MFG   . Torba jest stosunkowo pojemna, dodatkowo mając parę możliwych miejsc do ulokowania swojego bagażu.    Torba ma jedną kieszeń główną podzieloną na mniejsze sektory, która jest otwierana przez dwa zamki błyskawiczne. Wewnątrz mamy podział na aż cztery sektory. Mamy dużą siatkę np. na identyfikator oraz większe rzeczy, mamy specjalne uchwyty na smary czy markery, mniejszy sektor na kostki z gumowo-materiałowym paskiem zapinanym na rzep, małą płaską kieszeń zamykaną na zamek błyskawiczny, oraz mały sektor   zabezpieczony częściowo siatką. Do torby dołączony jest regulowany pasek z dwoma klamrami.    Szwy oraz materiał nie pozostawia wątpliwości, że mamy tutaj do czynienia z produktem wysokiej rangi.;https://strefa-kostek.pl/28587-home_default/qiyi-bag.jpg, https://strefa-kostek.pl/28587-thickbox_default/qiyi-bag.jpg, https://strefa-kostek.pl/28588-thickbox_default/qiyi-bag.jpg
